formal,proper
huge,dumb
composer,writer
carry,bring
create,build
situation,condition
hard,simple
absence,presence
couple,pair
aggression,hostility
navy,army
abundance,plenty
old,new
army,squad
recent,new
say,participate
hard,difficult
reality,illusion
bring,restore
chemistry,theory
day,morning
word,dictionary
unhappy,mad
large,big
chicken,steak
danger,disease
go,sell
communicate,pray
cab,bus
nice,generous
greet,meet
dirty,narrow
container,mouse
leg,arm
bean,coffee
comfort,safety
milk,juice
friend,buddy
science,psychology
dumb,intelligent
corporation,business
great,awful
weird,normal
sharp,dull
overcome,dominate
book,text
modest,flexible
mouth,tooth
joy,pride
easy,difficult
leader,manager
receive,give
absorb,possess
short,long
simple,easy
rat,mouse
think,decide
friend,guest
accept,believe
game,fun
boundary,border
street,alley
belief,impression
crowd,bunch
kill,hang
cloud,storm
lawyer,banker
old,fresh
god,spirit
guilty,ashamed
explain,prove
listen,hear
make,earn
accept,acknowledge
big,heavy
violent,angry
come,bring
forget,learn
winter,season
happy,young
attention,awareness
woman,wife
protect,defend
leave,enter
