lift,elevator
never,yet
blur,ignorant
take,eat
solid,excellent
takeaway,pack
open,on
letter,character
step,act
biscuit,cookie
steady,agree
solid,good
flat,apartment
pattern,behavior
blur,clueless
dummy,mannequin
diam,quiet
photostat,photocopy
stay,live
orbit,old-fashioned
one,de
hawker,peddler
keep,always
toot,stupid
follow,understand
boot,expel
on,settled
steady,excellent
arrow,delegate
got,have
vest,singlet
song,nice
sod,mental
power,good
spoil,broken
can,okay
lightbulb,third-wheel
jam,congestion
football,rugby
auntie,adult
un,understand
earpiece,headphone
trolley,cart
uncle,adult
send,drive
damn,very
get,cheeky
rocket,vegetable
basket,bastard
confirm,sure
handphone,mobile
steady,attached
stone,daydream
until,extent
chips,fries
mug,study
bill,cheque
banana,western
steady,capable
rubber,eraser
revert,reply
chop,reserve
pon,truant
