100 SimLex pairs:
formal,proper
huge,dumb
composer,writer
carry,bring
breathe,choke
create,build
situation,condition
hard,simple
absence,presence
couple,pair
aggression,hostility
navy,army
abundance,plenty
old,new
army,squad
contemplate,think
recent,new
say,participate
hard,difficult
reality,illusion
bring,restore
inexpensive,cheap
chemistry,theory
sly,strange
day,morning
endurance,band
word,dictionary
unhappy,mad
large,big
kill,choke
chicken,steak
apple,sunshine
danger,disease
go,sell
communicate,pray
cab,bus
nice,generous
greet,meet
dirty,narrow
container,mouse
leg,arm
bean,coffee
comfort,safety
milk,juice
friend,buddy
creator,maker
science,psychology
dumb,intelligent
corporation,business
great,awful
weird,normal
sharp,dull
overcome,dominate
book,text
modest,flexible
mouth,tooth
joy,pride
easy,difficult
leader,manager
rhythm,melody
receive,give
marijuana,herb
absorb,possess
short,long
simple,easy
rat,mouse
think,decide
dollar,people
friend,guest
accept,believe
game,fun
boundary,border
tobacco,cigarette
street,alley
belief,impression
crowd,bunch
kill,hang
victory,triumph
cloud,storm
lawyer,banker
old,fresh
god,spirit
guilty,ashamed
explain,prove
listen,hear
make,earn
accept,acknowledge
big,heavy
violent,angry
come,bring
forget,learn
achieve,accomplish
winter,season
happy,young
attention,awareness
woman,wife
protect,defend
inform,notify
cherish,keep
leave,enter

21 Singlish pairs:
can,okay
blur,ignorant
pattern,behavior
mug,study
chop,reserve
hawker,peddler
rubber,eraser
biscuit,cookie
vest,singlet
keep,always
letter,character
lift,elevator
bill,cheque
chips,fries
trolley,cart
dummy,mannequin
flat,apartment
boot,expel
rocket,vegetable
takeaway,pack
football,rugby

11 attention checks:
select 2
select 5
snake,snake
apple,apple
nose,house
sky,angry
grass,glass
sound,on
hair,sight
moon,wood
unemployment,cat
